time,lat,lon,depth,temperature,salinity
2010-11-30,0.0,60.0,100.0,19.41766611735026,35.33233388264974
2010-11-30,0.0,60.0,500.0,9.794333140055338,35.00600051879883
2010-11-30,0.0,80.0,5.0,28.43400001525879,35.343667348225914
2010-11-30,0.0,80.0,100.0,26.614333470662434,35.69066619873047
2010-11-30,0.0,80.0,500.0,9.964333216349283,35.01166788736979
2010-11-30,0.0,100.0,5.0,,
2010-11-30,0.0,100.0,100.0,,
2010-11-30,0.0,100.0,500.0,,
2010-12-31,0.0,60.0,5.0,27.577999750773113,35.49233373006185
2010-12-31,0.0,60.0,100.0,19.131667455037434,35.29400126139323
2010-12-31,0.0,60.0,500.0,10.004666328430176,35.03399912516276
2010-12-31,0.0,80.0,5.0,28.125333150227863,34.84866714477539
2010-12-31,0.0,80.0,100.0,26.419999440511067,35.59299977620443
2010-12-31,0.0,80.0,500.0,9.778666496276855,34.993666330973305
2010-12-31,0.0,100.0,5.0,,
2010-12-31,0.0,100.0,100.0,,
2010-12-31,0.0,100.0,500.0,,
2011-01-31,0.0,60.0,5.0,26.896999994913738,35.37666702270508
2011-01-31,0.0,60.0,100.0,19.85766665140788,35.310333251953125
2011-01-31,0.0,60.0,500.0,10.219333330790201,35.05633290608724
2011-01-31,0.0,80.0,5.0,27.996999740600586,35.333334604899086
2011-01-31,0.0,80.0,100.0,27.435333251953125,35.432665506998696
2011-01-31,0.0,80.0,500.0,9.699333190917969,34.99533208211263
2011-01-31,0.0,100.0,5.0,,
2011-01-31,0.0,100.0,100.0,,
2011-01-31,0.0,100.0,500.0,,
2011-02-28,0.0,60.0,5.0,27.763333002726238,35.26066589355469
2011-02-28,0.0,60.0,100.0,22.06933339436849,35.416334788004555
2011-02-28,0.0,60.0,500.0,10.23799991607666,35.034000396728516
2011-02-28,0.0,80.0,5.0,28.790666580200195,35.15099970499674
2011-02-28,0.0,80.0,100.0,22.7690003712972,35.27133433024088
2011-02-28,0.0,80.0,500.0,9.810333251953125,35.00466664632162
2011-02-28,0.0,100.0,5.0,,
2011-02-28,0.0,100.0,100.0,,
2011-02-28,0.0,100.0,500.0,,
2011-03-31,0.0,60.0,5.0,28.93333371480306,35.04900105794271
2011-03-31,0.0,60.0,100.0,23.02833302815755,35.48833338419596
2011-03-31,0.0,60.0,500.0,10.142000198364258,35.066332499186196
2011-03-31,0.0,80.0,5.0,29.383999506632488,34.97499974568685
2011-03-31,0.0,80.0,100.0,21.99400011698405,35.269667307535805
2011-03-31,0.0,80.0,500.0,9.856000264485678,35.01699956258138
2011-03-31,0.0,100.0,5.0,,
2011-03-31,0.0,100.0,100.0,,
2011-03-31,0.0,100.0,500.0,,
2011-04-30,0.0,60.0,5.0,29.665666580200195,35.166666666666664
2011-04-30,0.0,60.0,100.0,22.557999928792317,35.40133285522461
2011-04-30,0.0,60.0,500.0,10.045666694641113,35.051666259765625
2011-04-30,0.0,80.0,5.0,29.7516663869222,34.86500040690104
2011-04-30,0.0,80.0,100.0,21.620999654134113,35.36066691080729
2011-04-30,0.0,80.0,500.0,10.051666577657064,35.01666768391927
2011-04-30,0.0,100.0,5.0,,
2011-04-30,0.0,100.0,100.0,,
2011-04-30,0.0,100.0,500.0,,
2011-05-31,0.0,60.0,5.0,30.097000122070312,35.23100026448568
