time,lat,lon,heat_content
2013-07-31,0.0,100.0,0.0
2013-08-31,0.0,60.0,6412.873195012411
2013-08-31,0.0,80.0,6147.820053100587
2013-08-31,0.0,100.0,0.0
2013-09-30,0.0,60.0,6369.639930725098
2013-09-30,0.0,80.0,6083.8099575042725
2013-09-30,0.0,100.0,0.0
2013-10-31,0.0,60.0,6131.708405812581
2013-10-31,0.0,80.0,6222.345018386841
2013-10-31,0.0,100.0,0.0
2013-11-30,0.0,60.0,6174.359992345174
2013-11-30,0.0,80.0,6334.300034840902
2013-11-30,0.0,100.0,0.0
2013-12-31,0.0,60.0,6074.99002456665
2013-12-31,0.0,80.0,6171.594924926758
2013-12-31,0.0,100.0,0.0
